district,county_id,county,rep,dem,neighbors
1,1,Kenosha,36092,41101,"5,3"
5,2,Milwakee,29958,18866,"6,3,32,36"
1,3,Racine,50106,47618,"5,6,2,1"
2,4,Rock,18826,20902,"5,35,12"
1,5,Walworth,27890,16546,"1,3,6,35,4,37"
1,6,Waukesha,36843,12688,"3,2,39,35,5"
2,7,Dane,81794,203603,"35,34,40,13,9,8,12"
2,8,Green,7997,10234,"12,7,9,10"
2,9,Iowa,4324,7008,"10,7,8,13,11,28,20"
2,10,Lafayette,3324,3672,"8,9,20"
3,11,Richland,598,825,"9,13,28"
2,12,Rock,13635,22381,"4,35,7,8"
3,13,Sauk,12793,17067,"9,7,40,22,28,30,11"
3,14,Adams,3798,5075,"40,45,49,27,31,22,62"
3,15,Buffalo,2251,4278,"29,19,25"
3,16,Chippewa,6090,11041,"19,56,55,18"
3,17,Crawford,2156,5195,"20,28,30"
3,18,Dunn,7897,12658,"25,19,16,52,72,55,26"
3,19,Eau Claire,17692,33580,"29,21,56,16,18,25,15,61"
2,20,Grant,7081,14521,"10,9,28,17"
3,21,Jackson,2345,5364,"23,24,56,19,29,61"
3,22,Juneau,2989,5235,"13,14,24,30"
3,23,La Crosse,19743,40995,"30,24,21,29"
3,24,Monroe,6553,9655,"30,22,21,23,66"
3,25,Pepin,1277,2185,"15,19,18,26"
3,26,Pierce,8067,11675,"25,18,72"
3,27,Portage,13714,21897,"14,49,86,65,31"
3,28,Richland,2282,4060,"20,9,13,30,17,11"
3,29,Trempealeau,4098,8488,"23,21,19,15"
3,30,Vernon,4407,9207,"17,28,13,24,22,23"
3,31,Wood,9096,12219,"14,27,65,76,62"
4,32,Milwaukee,80637,234823,"2,47,46,39,36"
2,34,Dodge,13338,5718,"35,39,38,41,40,7"
1,35,Jefferson,25211,15291,"4,5,6,34,39,37,7,12"
5,36,Milwaukee,39668,31368,"39,2,32"
1,37,Walworth,2364,3103,"5,35,4"
4,38,Washington,56132,18825,"47,48,42,34,39"
5,39,Waukesha,112554,43667,"32,38,34,35,36,6"
6,40,Columbia,13696,14683,"7,34,43,45,41,14,13"
6,41,Dodge,13564,9472,"34,42,43,40"
6,42,Fond Du Lac,33382,16036,"38,48,78,43,50,41"
6,43,Green Lake,6088,3044,"40,41,42,50,49,45"
8,44,Manitowoc,25402,14908,"48,78,77,80"
6,45,Marquette,4293,2998,"40,43,49,14"
4,46,Milwaukee,690,454,"47,32"
4,47,Ozaukee,35550,16540,"46,32,38,48"
6,48,Sheboygan,37908,21618,"47,38,42,78,44"
6,49,Waushara,7155,4005,"45,43,50,86,27,14"
6,50,Winnebago,45786,32388,"42,43,78,86,87,49"
7,51,Ashland,3166,5041,"53,71,60,69"
7,52,Barron,11611,9705,"68,18,55,70,75,54"
7,53,Bayfield,4017,5568,"57,71,51"
7,54,Burnett,4518,3583,"68,52,75,57"
7,55,Chippewa,6955,5243,"16,56,73,70,52,18"
3,56,Clark,7817,5706,"73,65,76,61,21,19,16"
7,57,Douglas,8925,13372,"54,75,53"
7,58,Florence,1503,868,"59,81"
7,59,Forest,2327,1947,"74,67,63,58,81,83"
7,60,Iron,1924,1464,"51,69,74"
3,61,Jackson,520,373,"56,19,21,76,62,66"
3,62,Juneau,1448,1099,"14,31,22,66,61,76"
7,63,Langlade,6093,3613,"59,67,64,65,85,82,83"
7,64,Lincoln,8500,6291,"69,67,63,65,73"
7,65,Marathon,40825,27186,"56,73,64,63,85,27,31,76"
3,66,Monroe,1267,847,"24,61,62"
7,67,Oneida,11561,9016,"74,59,63,64,69"
3,68,Polk,12158,9134,"72,52,54"
7,69,Price,4041,3273,"51,60,74,67,64,73,70,71"
7,70,Rusk,3606,3213,"52,71,69,73,55"
7,71,Sawyer,4661,3834,"53,51,69,70,75"
3,72,St.Croix,25650,18535,"68,18,26"
7,73,Taylor,6037,3174,"70,69,64,65,56,55"
7,74,Vilas,7989,5264,"60,69,67,59"
7,75,Washburn,4779,3943,"54,52,71,57"
3,76,Wood,9420,6048,"65,56,61,62,31"
8,77,Brown,66914,55642,"78,44,80,83,85,84"
8,78,Calumet,15332,10537,"84,77,42,48,44,50"
8,79,Door,8623,8527,80
8,80,Kewaunee,5847,4783,"44,77,79"
7,81,Marinette,10506,8806,"83,58,59"
7,82,Menominee,925,238,"85,83,63"
7,83,Oconto,10789,7853,"82,85,77,81,63,59"
8,84,Outgamie,50588,39234,"87,78,77,85,86,50"
7,85,Shawano,11166,7842,"84,83,82,77,86,63,65"
3,86,Waupaca,14332,9905,"85,84,87,49,50,27"
6,87,Winnebago,4129,2317,"84,86,49,50"
